Link, Pic, Address, Rooms, Sqrm, Floor, Type, Price
http://ss.com/msg/lv/real-estate/flats/riga/chiekurkalns/djdeo.html,https://i.ss.com/gallery/2/349/87147/17429301.800.jpg,ÈiekurkalnsÈiekurkalna 7. ðí l. 3,1,18,1,Renov.,155  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/bemefj.html,https://i.ss.com/gallery/2/349/87147/17429250.800.jpg,centrsÌertrûdes 100,2,45,2,Specpr.,450  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/aipjk.html,https://i.ss.com/gallery/2/345/86177/17235346.800.jpg,centrsBarona 60,3,75,2,P. kara,499  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/mezhciems/gjnxp.html,https://i.ss.com/gallery/2/298/74382/14876350.800.jpg,MeþciemsGaiïezera 4,1,33,1,602.,190  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/bhnck.html,https://i.ss.com/gallery/2/349/87144/17428752.800.jpg,centrsTomsona 42,3,54,5,Hruðè.,400  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/ckbmi.html,https://i.ss.com/gallery/2/246/61436/12287199.800.jpg,PurvciemsDudajeva g. 9,2,51,4,Jaun.,400  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/kengarags/cmijg.html,https://i.ss.com/gallery/2/349/87143/17428410.800.jpg,ÍengaragsViðíu 7,1,30,5,LT proj.,200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/ilguciems/ejmpj.html,https://i.ss.com/gallery/2/349/87135/17426912.800.jpg,IïìuciemsBuïïu 31,2,50,4,LT proj.,200  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/agenskalns/abxxf.html,https://i.ss.com/gallery/2/349/87139/17427646.800.jpg,ÂgenskalnsM. Nometòu 3,2,43,7,Specpr.,360  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/bkkgp.html,https://i.ss.com/gallery/2/349/87138/17427538.800.jpg,centrsCçsu 43,1,35,2,Renov.,310  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/vecriga/epfhx.html,https://i.ss.com/gallery/2/299/74733/14946566.800.jpg,VecrîgaM. Smilðu 15,1,36,4,P. kara,450  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/beodhj.html,https://i.ss.com/gallery/2/336/83972/16794268.800.jpg,centrsGogoïa 7,2,88,4,P. kara,28  €/dienâ
http://ss.com/msg/lv/real-estate/flats/riga/bierini/nngme.html,https://i.ss.com/gallery/2/318/79400/15879996.800.jpg,BieriòiLiepâjas 78c,2,75,5,Jaun.,450  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/ebdxj.html,https://i.ss.com/gallery/2/297/74059/14811798.800.jpg,PurvciemsStirnu 57a,3,15,1,LT proj.,145  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/agenskalns/egplp.html,https://i.ss.com/gallery/2/349/87136/17427125.800.jpg,ÂgenskalnsLiepâjas 34,2,92,4,Renov.,720  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/agenskalns/hehol.html,https://i.ss.com/gallery/2/349/87136/17427034.800.jpg,ÂgenskalnsLiepâjas 34,4,70,2,Renov.,650  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/becghi.html,https://i.ss.com/gallery/2/247/61705/12340867.800.jpg,centrsKlusâ 20,1,36,1,Renov.,270  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/hcndi.html,https://i.ss.com/gallery/2/312/78000/15599987.800.jpg,PurvciemsDeglava 104,1,42,9,119.,240  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/beehon.html,https://i.ss.com/gallery/2/342/85467/17093294.800.jpg,centrsÌertrûdes 90,2,55,3,P. kara,240  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/giphp.html,https://i.ss.com/gallery/2/349/87107/17421210.800.jpg,centrsLâèplçða 129,2,52,5,Jaun.,400  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/bingd.html,https://i.ss.com/gallery/2/349/87132/17426352.800.jpg,centrsKlusâ 20,1,38,1,Renov.,250  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/eccce.html,https://i.ss.com/gallery/2/349/87131/17426127.800.jpg,PurvciemsStirnu 14,1,34,3,M. ìim.,175  €/mçn.
