Link, Pic, Address, Rooms, Sqrm, Floor, Type, Price
http://ss.com/msg/lv/real-estate/flats/riga/centre/dgdll.html,https://i.ss.com/gallery/2/365/91006/18201170.800.jpg,centrsAlauksta 16,3,63,4,103.,330  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/cckhd.html,https://i.ss.com/gallery/2/373/93143/18628545.800.jpg,centrsStabu 15,2,54,1,P. kara,500  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/agenskalns/dboji.html,https://i.ss.com/gallery/2/371/92546/18509076.800.jpg,ÂgenskalnsKalnciema 47,2,41,1,Hruðè.,300  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/dbhml.html,https://i.ss.com/gallery/2/376/93842/18768274.800.jpg,PurvciemsVaravîksnes g. 11,1,29,2,LT proj.,190  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/aihhk.html,https://i.ss.com/gallery/2/314/78309/15661609.800.jpg,Maskavas priekðpilsçtaLomonosova 8,2,70,3,Staïina,400  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/beehdx.html,https://i.ss.com/gallery/1/146/36379/7275741.800.jpg,centrsKatrînas d. 18,2,45,1,Hruðè.,360  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/plyavnieki/hdmfh.html,https://i.ss.com/gallery/2/317/79187/15837389.800.jpg,PïavniekiPavasara g. 5,2,52,5,602.,280  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/amfpd.html,https://i.ss.com/gallery/2/376/93839/18767657.800.jpg,centrsBrîvîbas 157,1,15,3,P. kara,250  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/ejhco.html,https://i.ss.com/gallery/1/190/47290/9457974.800.jpg,centrsKlusâ 20,1,40,1,Renov.,25  €/dienâ
http://ss.com/msg/lv/real-estate/flats/riga/centre/hgloh.html,https://i.ss.com/gallery/2/368/91917/18383327.800.jpg,centrsLâèplçða 53,3,64,5,Renov.,650  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/centre/goilf.html,https://i.ss.com/gallery/2/376/93838/18767434.800.jpg,centrsElijas 12,3,70,4,Renov.,500  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/imanta/cbpnx.html,https://i.ss.com/gallery/2/331/82642/16528356.800.jpg,ImantaImantas 3,3,67,3,LT proj.,290  €/mçn.
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/cxdem.html,https://i.ss.com/gallery/2/376/93835/18766979.800.jpg,PurvciemsStirnu 51,1,30,4,LT proj.,230  €/mçn.
