Link, Pic, Address, Rooms, Sqrm, Floor, Type, Price
http://ss.com/msg/lv/real-estate/flats/riga/kengarags/dfflx.html,https://i.ss.com/gallery/2/345/86176/17235001.800.jpg,ÍengaragsLokomotîves 70A,3,60,5,LT proj.,50000  €
http://ss.com/msg/lv/real-estate/flats/riga/ziepniekkalns/afegp.html,https://i.ss.com/gallery/2/349/87169/17433769.800.jpg,ZiepniekkalnsOzolciema 10/8,2,57,7,119.,55000  €
http://ss.com/msg/lv/real-estate/flats/riga/ziepniekkalns/aflhk.html,https://i.ss.com/gallery/2/340/84820/16963967.800.jpg,ZiepniekkalnsBauskas 45,2,68,3,Jaun.,91920  €
http://ss.com/msg/lv/real-estate/flats/riga/jaunciems/kchem.html,https://i.ss.com/gallery/2/342/85346/17069133.800.jpg,JaunciemsJaunciema g. 163,1,30,1,Staïina,7630  €
http://ss.com/msg/lv/real-estate/flats/riga/imanta/aleno.html,https://i.ss.com/gallery/2/335/83588/16717560.800.jpg,ImantaKurzemes pr. 136,2,49,5,LT proj.,46000  €
http://ss.com/msg/lv/real-estate/flats/riga/kengarags/dbccc.html,https://i.ss.com/gallery/2/360/89767/17953351.800.jpg,ÍengaragsMaskavas 301,2,50,9,Èehu pr.,50000  €
http://ss.com/msg/lv/real-estate/flats/riga/yugla/gjkdb.html,https://i.ss.com/gallery/2/360/89765/17952864.800.jpg,JuglaJuglas 53,1,31,4,LT proj.,26300  €
http://ss.com/msg/lv/real-estate/flats/riga/plyavnieki/dcomc.html,https://i.ss.com/gallery/2/289/72008/14401518.800.jpg,PïavniekiSaharova 27,3,73,15,Specpr.,71500  €
http://ss.com/msg/lv/real-estate/flats/riga/ilguciems/akfcx.html,https://i.ss.com/gallery/2/351/87710/17541809.800.jpg,IïìuciemsGrîvas 25,1,29,4,Hruðè.,31500  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/behlog.html,https://i.ss.com/gallery/2/357/89071/17814102.800.jpg,centrsKrâsotâju 6,2,83,1,P. kara,28500  €
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/bepdh.html,https://i.ss.com/gallery/2/352/87853/17570576.800.jpg,PurvciemsDzelzavas 89,3,55,2,LT proj.,64500  €
http://ss.com/msg/lv/real-estate/flats/riga/plyavnieki/comhb.html,https://i.ss.com/gallery/2/360/89758/17951488.800.jpg,PïavniekiDravnieku 9,1,35,8,602.,37500  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/eijdo.html,https://i.ss.com/gallery/2/342/85479/17095705.800.jpg,centrsGogoïa 8,4,97,5,P. kara,92500  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/dbobh.html,https://i.ss.com/gallery/2/360/89759/17951767.800.jpg,centrsAusekïa 7,3,70,2,P. kara,160000  €
http://ss.com/msg/lv/real-estate/flats/riga/agenskalns/ckgmk.html,https://i.ss.com/gallery/2/360/89758/17951427.800.jpg,ÂgenskalnsLapu 3,1,28,1,P. kara,15500  €
http://ss.com/msg/lv/real-estate/flats/riga/zolitude/edfxb.html,https://i.ss.com/gallery/2/306/76362/15272222.800.jpg,ZolitûdeGramzdas 80,4,175,4,Jaun.,160000  €
http://ss.com/msg/lv/real-estate/flats/riga/plyavnieki/fljmj.html,https://i.ss.com/gallery/2/360/89752/17950210.800.jpg,PïavniekiSalnas 34,2,51,2,602.,50555  €
http://ss.com/msg/lv/real-estate/flats/riga/plyavnieki/ekhpx.html,https://i.ss.com/gallery/2/360/89756/17951019.800.jpg,PïavniekiDeglava 122,3,78,5,119.,74000  €
http://ss.com/msg/lv/real-estate/flats/riga/yugla/fjcjn.html,https://i.ss.com/gallery/2/360/89755/17950852.800.jpg,JuglaBaltezera 1/1,2,36,5,Hruðè.,33850  €
