Link, Pic, Address, Rooms, Sqrm, Floor, Type, Price
http://ss.com/msg/lv/real-estate/flats/riga/agenskalns/dcceb.html,https://i.ss.com/gallery/2/370/92315/18462865.800.jpg,ÂgenskalnsMûkusalas 29,4,115,4,Renov.,280000  €
http://ss.com/msg/lv/real-estate/flats/riga/agenskalns/bbolmo.html,https://i.ss.com/gallery/2/370/92315/18462828.800.jpg,ÂgenskalnsMûkusalas 29,2,61,4,Renov.,165000  €
http://ss.com/msg/lv/real-estate/flats/riga/ziepniekkalns/ejokg.html,https://i.ss.com/gallery/2/356/88848/17769427.800.jpg,ZiepniekkalnsBauskas 205,2,43,3,Specpr.,48500  €
http://ss.com/msg/lv/real-estate/flats/riga/ilguciems/anfgo.html,https://i.ss.com/gallery/2/324/80812/16162271.800.jpg,IïìuciemsBaltâ 2,2,44,3,Hruðè.,41000  €
http://ss.com/msg/lv/real-estate/flats/riga/imanta/ccohp.html,https://i.ss.com/gallery/2/368/91974/18394648.800.jpg,ImantaDammes 26,2,49,5,LT proj.,40000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/bffbge.html,https://i.ss.com/gallery/2/370/92312/18462400.800.jpg,centrsSkolas 19,5,146,3,P. kara,257000  €
http://ss.com/msg/lv/real-estate/flats/riga/mezhciems/aidlx.html,https://i.ss.com/gallery/2/365/91140/18227987.800.jpg,MeþciemsEizenðteina 53,4,78,1,602.,59000  €
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/fjchd.html,https://i.ss.com/gallery/2/337/84199/16839731.800.jpg,PurvciemsStirnu 35A,3,62,7,602.,64999  €
http://ss.com/msg/lv/real-estate/flats/riga/agenskalns/gdgdh.html,https://i.ss.com/gallery/2/319/79556/15911002.800.jpg,ÂgenskalnsSmiïìa 32,3,42,3,Hruðè.,53900  €
http://ss.com/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/hcngg.html,https://i.ss.com/gallery/1/180/44853/8970492.800.jpg,Ðampçteris-PleskodâleStendes 7/4,1,20,3,Specpr.,13900  €
http://ss.com/msg/lv/real-estate/flats/riga/yugla/aeioj.html,https://i.ss.com/gallery/2/351/87599/17519768.800.jpg,JuglaCiemupes 131,4,131,8,Jaun.,163750  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/bdphpi.html,https://i.ss.com/gallery/2/370/92310/18461965.800.jpg,centrsBrîvîbas 152,3,60,8,Specpr.,47490  €
http://ss.com/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/ablje.html,https://i.ss.com/gallery/2/370/92310/18461955.800.jpg,Ðampçteris-PleskodâleApuzes 13,2,55,1,Jaun.,82500  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/ehbdc.html,https://i.ss.com/gallery/2/328/81916/16383012.800.jpg,centrsVesetas 30,2,43,3,Hruðè.,57900  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/bfxpxd.html,https://i.ss.com/gallery/2/370/92310/18461833.800.jpg,centrsKalniòa 6,3,78,4,Renov.,180000  €
