Link, Pic, Address, Rooms, Sqrm, Floor, Type, Price
http://ss.com/msg/lv/real-estate/flats/riga/kengarags/fkkjc.html,https://i.ss.com/gallery/2/349/87146/17429098.800.jpg,ÍengaragsAglonas 33,2,42,5,Hruðè.,40500  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/bfdhkg.html,https://i.ss.com/gallery/2/244/60785/12156876.800.jpg,centrsRûpniecîbas 4,3,128,5,P. kara,222000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/aephe.html,https://i.ss.com/gallery/2/295/73571/14714063.800.jpg,centrsLienes 27,1,22,2,P. kara,12500  €
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/fmdog.html,https://i.ss.com/gallery/2/257/64212/12842252.800.jpg,PurvciemsÛnijas 74,3,139,3,Jaun.,195000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/afjok.html,https://i.ss.com/gallery/2/349/87142/17428380.800.jpg,centrsLâèplçða 70B,5,195,6,P. kara,310000  €
http://ss.com/msg/lv/real-estate/flats/riga/krasta-st-area/aipip.html,https://i.ss.com/gallery/2/309/77139/15427652.800.jpg,Krasta r-nsMaskavas 198,2,56,5,Staïina,36000  €
http://ss.com/msg/lv/real-estate/flats/riga/mezhciems/fiodj.html,https://i.ss.com/gallery/2/277/69098/13819466.800.jpg,MeþciemsBiíernieku 238,2,41,3,Hruðè.,26000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/bclxnm.html,https://i.ss.com/gallery/1/199/49597/9919355.800.jpg,centrsStabu 46,3,73,3,P. kara,139000  €
http://ss.com/msg/lv/real-estate/flats/riga/ziepniekkalns/emlej.html,https://i.ss.com/gallery/2/317/79089/15817693.800.jpg,ZiepniekkalnsIlmâjas 15,3,68,1,103.,64900  €
http://ss.com/msg/lv/real-estate/flats/riga/agenskalns/aglhf.html,https://i.ss.com/gallery/2/321/80156/16031131.800.jpg,ÂgenskalnsDarba 11a,1,18,2,P. kara,10470  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/admnd.html,https://i.ss.com/gallery/2/346/86451/17290094.800.jpg,centrsMatîsa 121a,1,25,1,P. kara,12870  €
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/emnef.html,https://i.ss.com/gallery/2/320/79911/15982111.800.jpg,PurvciemsÛnijas 32,1,18,1,Renov.,12870  €
http://ss.com/msg/lv/real-estate/flats/riga/dzeguzhkalns/dlfii.html,https://i.ss.com/gallery/2/349/87134/17426741.800.jpg,DzeguþkalnsM. Stacijas 22,2,38,2,LT proj.,42000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/hdpik.html,https://i.ss.com/gallery/2/245/61210/12241909.800.jpg,centrsDzirnavu 151,3,86,1,Staïina,95000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/adkgl.html,https://i.ss.com/gallery/2/340/84801/16960181.800.jpg,centrsKatrînas d. 24,2,61,3,Staïina,55000  €
http://ss.com/msg/lv/real-estate/flats/riga/zolitude/blede.html,https://i.ss.com/gallery/2/349/87134/17426633.800.jpg,ZolitûdeBieziòa 9,2,61,5,119.,54000  €
http://ss.com/msg/lv/real-estate/flats/riga/vecaki/lhlpg.html,https://i.ss.com/gallery/2/320/79836/15967109.800.jpg,VecâíiVabu 17,4,104,1,Specpr.,150000  €
http://ss.com/msg/lv/real-estate/flats/riga/dzeguzhkalns/dxgbf.html,https://i.ss.com/gallery/2/319/79603/15920566.800.jpg,DzeguþkalnsJûrmalas g. 1,2,50,7,Èehu pr.,60000  €
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/afnxi.html,https://i.ss.com/gallery/2/305/76135/15226818.800.jpg,PurvciemsIlûkstes 107,3,59,8,602.,71000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/becgnx.html,https://i.ss.com/gallery/2/306/76441/15288006.800.jpg,centrsÌertrûdes 135,4,105,2,P. kara,135000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/adccn.html,https://i.ss.com/gallery/2/340/84904/16980616.800.jpg,centrsÌertrûdes 22,5,204,5,P. kara,330000  €
http://ss.com/msg/lv/real-estate/flats/riga/purvciems/ecekn.html,https://i.ss.com/gallery/2/349/87131/17426001.800.jpg,PurvciemsBiíernieku 108,3,62,4,602.,58000  €
http://ss.com/msg/lv/real-estate/flats/riga/kengarags/dnkjc.html,https://i.ss.com/gallery/2/349/87022/17404273.800.jpg,ÍengaragsPrûðu 4,2,42,2,Jaun.,51500  €
http://ss.com/msg/lv/real-estate/flats/riga/imanta/dfjdj.html,https://i.ss.com/gallery/2/275/68705/13740830.800.jpg,ImantaVecumnieku 78B,3,99,1,Jaun.,208000  €
http://ss.com/msg/lv/real-estate/flats/riga/centre/bcjlic.html,https://i.ss.com/gallery/2/322/80453/16090466.800.jpg,centrsMiera 105,2,57,2,Jaun.,82000  €
